,Power
2018-06-01 00:00:00,72.99
2018-06-01 00:15:00,73.44
2018-06-01 00:30:00,73.37
2018-06-01 00:45:00,73.19
2018-06-01 01:00:00,73.22
2018-06-01 01:15:00,73.24
2018-06-01 01:30:00,73.48
2018-06-01 01:45:00,73.4
2018-06-01 02:00:00,75.98
2018-06-01 02:15:00,76.97
2018-06-01 02:30:00,77.08
2018-06-01 02:45:00,76.93
2018-06-01 03:00:00,77.04
2018-06-01 03:15:00,77.38
2018-06-01 03:30:00,77.49
2018-06-01 03:45:00,58.43
2018-06-01 04:00:00,50.98
2018-06-01 04:15:00,50.9
2018-06-01 04:30:00,50.9
2018-06-01 04:45:00,50.89
2018-06-01 05:00:00,50.81
2018-06-01 05:15:00,50.87
2018-06-01 05:30:00,34.63
2018-06-01 05:45:00,23.09
2018-06-01 06:00:00,23.11
2018-06-01 06:15:00,23.11
2018-06-01 06:30:00,50.26
2018-06-01 06:45:00,50.71
2018-06-01 07:00:00,50.62
2018-06-01 07:15:00,50.51
2018-06-01 07:30:00,50.53
2018-06-01 07:45:00,50.47
2018-06-01 08:00:00,50.29
2018-06-01 08:15:00,50.2
2018-06-01 08:30:00,50.17
2018-06-01 08:45:00,49.77
2018-06-01 09:00:00,54.9
2018-06-01 09:15:00,54.86
2018-06-01 09:30:00,54.86
2018-06-01 09:45:00,50.04
2018-06-01 10:00:00,1.48
2018-06-01 10:15:00,1.49
2018-06-01 10:30:00,1.49
2018-06-01 10:45:00,12.76
2018-06-01 11:00:00,28.89
2018-06-01 11:15:00,28.94
2018-06-01 11:30:00,31.73
2018-06-01 11:45:00,53.8
2018-06-01 12:00:00,55.15
2018-06-01 12:15:00,55.24
2018-06-01 12:30:00,55.17
2018-06-01 12:45:00,53.68
2018-06-01 13:00:00,55.15
2018-06-01 13:15:00,55.21
2018-06-01 13:30:00,55.22
2018-06-01 13:45:00,55.13
2018-06-01 14:00:00,55.28
2018-06-01 14:15:00,56.86
2018-06-01 14:30:00,56.81
2018-06-01 14:45:00,56.86
2018-06-01 15:00:00,56.77
2018-06-01 15:15:00,56.81
2018-06-01 15:30:00,56.84
2018-06-01 15:45:00,56.84
2018-06-01 16:00:00,56.86
2018-06-01 16:15:00,56.79
2018-06-01 16:30:00,56.77
2018-06-01 16:45:00,55.08
2018-06-01 17:00:00,56.74
2018-06-01 17:15:00,56.88
2018-06-01 17:30:00,55.94
2018-06-01 17:45:00,55.31
2018-06-01 18:00:00,55.33
2018-06-01 18:15:00,55.31
2018-06-01 18:30:00,55.37
2018-06-01 18:45:00,55.35
2018-06-01 19:00:00,55.4
2018-06-01 19:15:00,55.4
2018-06-01 19:30:00,55.33
2018-06-01 19:45:00,55.33
2018-06-01 20:00:00,55.44
2018-06-01 20:15:00,55.33
2018-06-01 20:30:00,55.26
2018-06-01 20:45:00,55.22
2018-06-01 21:00:00,55.24
2018-06-01 21:15:00,55.17
2018-06-01 21:30:00,55.21
2018-06-01 21:45:00,55.12
2018-06-01 22:00:00,55.19
2018-06-01 22:15:00,55.19
2018-06-01 22:30:00,55.21
2018-06-01 22:45:00,53.5
2018-06-01 23:00:00,72.65
2018-06-01 23:15:00,73.12
2018-06-01 23:30:00,73.15
2018-06-01 23:45:00,73.04
2018-06-02 00:00:00,72.9
2018-06-02 00:15:00,73.12
2018-06-02 00:30:00,73.1
2018-06-02 00:45:00,73.39
2018-06-02 01:00:00,74.18
2018-06-02 01:15:00,76.81
2018-06-02 01:30:00,76.73
2018-06-02 01:45:00,76.63
2018-06-02 02:00:00,76.97
2018-06-02 02:15:00,77.08
2018-06-02 02:30:00,77.04
2018-06-02 02:45:00,77.11
2018-06-02 03:00:00,77.09
2018-06-02 03:15:00,77.06
2018-06-02 03:30:00,76.79
2018-06-02 03:45:00,77.26
2018-06-02 04:00:00,77.31
2018-06-02 04:15:00,64.76
2018-06-02 04:30:00,50.99
2018-06-02 04:45:00,50.89
2018-06-02 05:00:00,30.51
2018-06-02 05:15:00,23.17
2018-06-02 05:30:00,23.15
2018-06-02 05:45:00,23.17
2018-06-02 06:00:00,23.15
2018-06-02 06:15:00,34.52
2018-06-02 06:30:00,50.87
2018-06-02 06:45:00,50.81
2018-06-02 07:00:00,50.56
2018-06-02 07:15:00,48.83
2018-06-02 07:30:00,48.73
2018-06-02 07:45:00,48.69
2018-06-02 08:00:00,48.82
2018-06-02 08:15:00,48.83
2018-06-02 08:30:00,48.76
2018-06-02 08:45:00,49.64
2018-06-02 09:00:00,56.63
2018-06-02 09:15:00,56.75
2018-06-02 09:30:00,56.77
2018-06-02 09:45:00,51.82
2018-06-02 10:00:00,1.51
2018-06-02 10:15:00,1.53
2018-06-02 10:30:00,1.51
2018-06-02 10:45:00,13.14
2018-06-02 11:00:00,29.32
2018-06-02 11:15:00,29.32
2018-06-02 11:30:00,46.82
2018-06-02 11:45:00,53.71
2018-06-02 12:00:00,55.04
2018-06-02 12:15:00,55.13
2018-06-02 12:30:00,55.13
2018-06-02 12:45:00,53.66
2018-06-02 13:00:00,55.04
2018-06-02 13:15:00,55.17
2018-06-02 13:30:00,55.06
2018-06-02 13:45:00,55.08
2018-06-02 14:00:00,55.12
2018-06-02 14:15:00,55.13
2018-06-02 14:30:00,55.19
2018-06-02 14:45:00,55.26
2018-06-02 15:00:00,55.28
2018-06-02 15:15:00,55.33
2018-06-02 15:30:00,55.3
2018-06-02 15:45:00,55.26
2018-06-02 16:00:00,55.26
2018-06-02 16:15:00,55.21
2018-06-02 16:30:00,55.33
2018-06-02 16:45:00,53.84
2018-06-02 17:00:00,55.3
2018-06-02 17:15:00,55.37
2018-06-02 17:30:00,55.26
2018-06-02 17:45:00,55.26
2018-06-02 18:00:00,55.17
2018-06-02 18:15:00,55.08
2018-06-02 18:30:00,55.58
2018-06-02 18:45:00,56.59
2018-06-02 19:00:00,56.61
2018-06-02 19:15:00,56.61
2018-06-02 19:30:00,56.68
2018-06-02 19:45:00,56.77
2018-06-02 20:00:00,75.91
2018-06-02 20:15:00,83.59
2018-06-02 20:30:00,83.5
2018-06-02 20:45:00,83.39
2018-06-02 21:00:00,83.38
2018-06-02 21:15:00,83.32
2018-06-02 21:30:00,82.67
2018-06-02 21:45:00,79.79
2018-06-02 22:00:00,79.88
2018-06-02 22:15:00,79.88
2018-06-02 22:30:00,79.87
2018-06-02 22:45:00,76.77
2018-06-02 23:00:00,72.86
2018-06-02 23:15:00,73.08
2018-06-02 23:30:00,73.03
2018-06-02 23:45:00,73.03
2018-06-03 00:00:00,72.9
2018-06-03 00:15:00,73.22
2018-06-03 00:30:00,73.3
2018-06-03 00:45:00,73.22
2018-06-03 01:00:00,73.28
2018-06-03 01:15:00,73.08
2018-06-03 01:30:00,73.08
2018-06-03 01:45:00,73.35
2018-06-03 02:00:00,73.46
2018-06-03 02:15:00,73.44
2018-06-03 02:30:00,75.78
2018-06-03 02:45:00,76.66
2018-06-03 03:00:00,76.54
2018-06-03 03:15:00,76.73
2018-06-03 03:30:00,59.42
2018-06-03 03:45:00,50.71
2018-06-03 04:00:00,49.84
2018-06-03 04:15:00,3.4
2018-06-03 04:30:00,12.83
2018-06-03 04:45:00,23.15
2018-06-03 05:00:00,23.04
2018-06-03 05:15:00,32.76
2018-06-03 05:30:00,50.56
2018-06-03 05:45:00,50.53
2018-06-03 06:00:00,50.71
2018-06-03 06:15:00,38.77
2018-06-03 06:30:00,23.06
2018-06-03 06:45:00,23.02
2018-06-03 07:00:00,37.78
2018-06-03 07:15:00,50.8
2018-06-03 07:30:00,50.72
2018-06-03 07:45:00,50.69
2018-06-03 08:00:00,50.69
2018-06-03 08:15:00,50.56
2018-06-03 08:30:00,50.49
2018-06-03 08:45:00,51.16
2018-06-03 09:00:00,56.81
2018-06-03 09:15:00,56.83
2018-06-03 09:30:00,56.81
2018-06-03 09:45:00,51.98
2018-06-03 10:00:00,1.49
2018-06-03 10:15:00,1.51
2018-06-03 10:30:00,1.51
2018-06-03 10:45:00,1.51
2018-06-03 11:00:00,18.22
2018-06-03 11:15:00,28.98
2018-06-03 11:30:00,29.5
2018-06-03 11:45:00,53.42
2018-06-03 12:00:00,55.22
2018-06-03 12:15:00,55.28
2018-06-03 12:30:00,55.26
2018-06-03 12:45:00,53.75
2018-06-03 13:00:00,55.15
2018-06-03 13:15:00,55.26
2018-06-03 13:30:00,55.19
2018-06-03 13:45:00,55.24
2018-06-03 14:00:00,55.33
2018-06-03 14:15:00,55.3
2018-06-03 14:30:00,55.28
2018-06-03 14:45:00,55.17
2018-06-03 15:00:00,55.17
2018-06-03 15:15:00,55.13
2018-06-03 15:30:00,55.04
2018-06-03 15:45:00,55.12
2018-06-03 16:00:00,55.04
2018-06-03 16:15:00,55.1
2018-06-03 16:30:00,55.12
2018-06-03 16:45:00,53.64
2018-06-03 17:00:00,55.1
2018-06-03 17:15:00,55.1
2018-06-03 17:30:00,54.99
2018-06-03 17:45:00,54.99
2018-06-03 18:00:00,54.94
2018-06-03 18:15:00,55.03
2018-06-03 18:30:00,55.66
2018-06-03 18:45:00,56.56
2018-06-03 19:00:00,56.56
2018-06-03 19:15:00,56.56
2018-06-03 19:30:00,56.7
2018-06-03 19:45:00,56.65
2018-06-03 20:00:00,56.75
2018-06-03 20:15:00,56.88
2018-06-03 20:30:00,56.86
2018-06-03 20:45:00,56.93
2018-06-03 21:00:00,56.86
2018-06-03 21:15:00,56.83
2018-06-03 21:30:00,56.84
2018-06-03 21:45:00,56.18
2018-06-03 22:00:00,55.19
2018-06-03 22:15:00,58.43
2018-06-03 22:30:00,79.29
2018-06-03 22:45:00,76.43
2018-06-03 23:00:00,72.49
2018-06-03 23:15:00,72.83
2018-06-03 23:30:00,72.72
2018-06-03 23:45:00,72.76
2018-06-04 00:00:00,72.43
2018-06-04 00:15:00,72.86
