,Power
2018-06-01 00:00:00,14.38
2018-06-01 00:15:00,14.33
2018-06-01 00:30:00,13.2
2018-06-01 00:45:00,12.58
2018-06-01 01:00:00,12.96
2018-06-01 01:15:00,12.77
2018-06-01 01:30:00,13.63
2018-06-01 01:45:00,14.38
2018-06-01 02:00:00,14.78
2018-06-01 02:15:00,15.17
2018-06-01 02:30:00,13.9
2018-06-01 02:45:00,12.91
2018-06-01 03:00:00,12.77
2018-06-01 03:15:00,13.06
2018-06-01 03:30:00,14.52
2018-06-01 03:45:00,14.38
2018-06-01 04:00:00,14.04
2018-06-01 04:15:00,12.79
2018-06-01 04:30:00,16.8
2018-06-01 04:45:00,21.58
2018-06-01 05:00:00,20.42
2018-06-01 05:15:00,18.17
2018-06-01 05:30:00,21.96
2018-06-01 05:45:00,20.11
2018-06-01 06:00:00,21.58
2018-06-01 06:15:00,21.5
2018-06-01 06:30:00,18.72
2018-06-01 06:45:00,25.58
2018-06-01 07:00:00,23.64
2018-06-01 07:15:00,27.43
2018-06-01 07:30:00,23.81
2018-06-01 07:45:00,22.7
2018-06-01 08:00:00,30.17
2018-06-01 08:15:00,25.58
2018-06-01 08:30:00,30.6
2018-06-01 08:45:00,29.9
2018-06-01 09:00:00,28.51
2018-06-01 09:15:00,29.11
2018-06-01 09:30:00,34.78
2018-06-01 09:45:00,32.33
2018-06-01 10:00:00,36.53
2018-06-01 10:15:00,36.38
2018-06-01 10:30:00,39.86
2018-06-01 10:45:00,40.22
2018-06-01 11:00:00,37.78
2018-06-01 11:15:00,40.51
2018-06-01 11:30:00,36.86
2018-06-01 11:45:00,36.34
2018-06-01 12:00:00,42.31
2018-06-01 12:15:00,37.49
2018-06-01 12:30:00,38.71
2018-06-01 12:45:00,35.66
2018-06-01 13:00:00,36.46
2018-06-01 13:15:00,37.44
2018-06-01 13:30:00,37.15
2018-06-01 13:45:00,35.11
2018-06-01 14:00:00,35.71
2018-06-01 14:15:00,34.94
2018-06-01 14:30:00,33.67
2018-06-01 14:45:00,37.18
2018-06-01 15:00:00,34.75
2018-06-01 15:15:00,33.74
2018-06-01 15:30:00,32.11
2018-06-01 15:45:00,31.39
2018-06-01 16:00:00,29.66
2018-06-01 16:15:00,30.22
2018-06-01 16:30:00,30.58
2018-06-01 16:45:00,28.85
2018-06-01 17:00:00,31.22
2018-06-01 17:15:00,33.79
2018-06-01 17:30:00,29.86
2018-06-01 17:45:00,27.14
2018-06-01 18:00:00,24.26
2018-06-01 18:15:00,28.01
2018-06-01 18:30:00,23.81
2018-06-01 18:45:00,22.03
2018-06-01 19:00:00,21.74
2018-06-01 19:15:00,22.9
2018-06-01 19:30:00,20.86
2018-06-01 19:45:00,22.54
2018-06-01 20:00:00,20.02
2018-06-01 20:15:00,19.68
2018-06-01 20:30:00,19.56
2018-06-01 20:45:00,17.11
2018-06-01 21:00:00,16.22
2018-06-01 21:15:00,14.76
2018-06-01 21:30:00,14.81
2018-06-01 21:45:00,13.94
2018-06-01 22:00:00,12.62
2018-06-01 22:15:00,12.67
2018-06-01 22:30:00,13.01
2018-06-01 22:45:00,13.49
2018-06-01 23:00:00,13.97
2018-06-01 23:15:00,14.33
2018-06-01 23:30:00,14.98
2018-06-01 23:45:00,13.99
2018-06-02 00:00:00,13.85
2018-06-02 00:15:00,13.39
2018-06-02 00:30:00,12.82
2018-06-02 00:45:00,14.06
2018-06-02 01:00:00,14.69
2018-06-02 01:15:00,14.45
2018-06-02 01:30:00,12.77
2018-06-02 01:45:00,12.96
2018-06-02 02:00:00,13.27
2018-06-02 02:15:00,12.58
2018-06-02 02:30:00,14.11
2018-06-02 02:45:00,14.57
2018-06-02 03:00:00,14.74
2018-06-02 03:15:00,14.78
2018-06-02 03:30:00,14.21
2018-06-02 03:45:00,13.32
2018-06-02 04:00:00,12.53
2018-06-02 04:15:00,13.58
2018-06-02 04:30:00,14.33
2018-06-02 04:45:00,14.06
2018-06-02 05:00:00,13.78
2018-06-02 05:15:00,12.67
2018-06-02 05:30:00,12.38
2018-06-02 05:45:00,12.38
2018-06-02 06:00:00,13.01
2018-06-02 06:15:00,13.87
2018-06-02 06:30:00,13.9
2018-06-02 06:45:00,15.19
2018-06-02 07:00:00,14.16
2018-06-02 07:15:00,13.44
2018-06-02 07:30:00,17.62
2018-06-02 07:45:00,20.21
2018-06-02 08:00:00,19.44
2018-06-02 08:15:00,17.18
2018-06-02 08:30:00,18.94
2018-06-02 08:45:00,15.96
2018-06-02 09:00:00,16.46
2018-06-02 09:15:00,18.77
2018-06-02 09:30:00,17.45
2018-06-02 09:45:00,21.67
2018-06-02 10:00:00,22.22
2018-06-02 10:15:00,24.98
2018-06-02 10:30:00,24.36
2018-06-02 10:45:00,23.95
2018-06-02 11:00:00,23.62
2018-06-02 11:15:00,25.37
2018-06-02 11:30:00,23.88
2018-06-02 11:45:00,24.6
2018-06-02 12:00:00,23.95
