,Power
2018-06-02 23:00:00,69.73
2018-06-02 23:15:00,67.86
2018-06-02 23:30:00,70.13
2018-06-02 23:45:00,68.58
2018-06-03 00:00:00,69.8
2018-06-03 00:15:00,68.04
2018-06-03 00:30:00,69.91
2018-06-03 00:45:00,69.26
2018-06-03 01:00:00,68.08
2018-06-03 01:15:00,68.47
2018-06-03 01:30:00,69.95
2018-06-03 01:45:00,68.47
2018-06-03 02:00:00,68.4
2018-06-03 02:15:00,69.88
2018-06-03 02:30:00,68.26
2018-06-03 02:45:00,68.9
2018-06-03 03:00:00,68.8
2018-06-03 03:15:00,68.04
2018-06-03 03:30:00,68.11
2018-06-03 03:45:00,70.09
2018-06-03 04:00:00,67.5
2018-06-03 04:15:00,68.29
2018-06-03 04:30:00,69.48
2018-06-03 04:45:00,68.69
2018-06-03 05:00:00,67.1
2018-06-03 05:15:00,67.72
2018-06-03 05:30:00,69.8
2018-06-03 05:45:00,68.54
2018-06-03 06:00:00,68.47
2018-06-03 06:15:00,69.52
2018-06-03 06:30:00,68.15
2018-06-03 06:45:00,68.4
2018-06-03 07:00:00,69.05
2018-06-03 07:15:00,67.86
2018-06-03 07:30:00,68.44
2018-06-03 07:45:00,70.63
2018-06-03 08:00:00,68.65
2018-06-03 08:15:00,67.46
2018-06-03 08:30:00,69.48
2018-06-03 08:45:00,68.8
2018-06-03 09:00:00,68.51
2018-06-03 09:15:00,67.93
2018-06-03 09:30:00,67.28
2018-06-03 09:45:00,66.78
2018-06-03 10:00:00,69.12
2018-06-03 10:15:00,67.25
2018-06-03 10:30:00,65.56
2018-06-03 10:45:00,66.38
2018-06-03 11:00:00,65.92
2018-06-03 11:15:00,66.56
2018-06-03 11:30:00,66.28
2018-06-03 11:45:00,64.37
2018-06-03 12:00:00,68.54
2018-06-03 12:15:00,68.0
2018-06-03 12:30:00,64.48
2018-06-03 12:45:00,65.45
2018-06-03 13:00:00,65.3
2018-06-03 13:15:00,69.12
2018-06-03 13:30:00,66.6
2018-06-03 13:45:00,65.92
2018-06-03 14:00:00,67.0
2018-06-03 14:15:00,66.53
2018-06-03 14:30:00,64.58
2018-06-03 14:45:00,66.85
2018-06-03 15:00:00,68.72
2018-06-03 15:15:00,67.25
2018-06-03 15:30:00,66.85
2018-06-03 15:45:00,67.97
2018-06-03 16:00:00,69.62
2018-06-03 16:15:00,68.83
2018-06-03 16:30:00,67.03
2018-06-03 16:45:00,67.03
2018-06-03 17:00:00,70.42
2018-06-03 17:15:00,71.42
2018-06-03 17:30:00,69.91
2018-06-03 17:45:00,68.29
2018-06-03 18:00:00,70.49
2018-06-03 18:15:00,70.45
2018-06-03 18:30:00,73.73
2018-06-03 18:45:00,71.86
2018-06-03 19:00:00,70.63
2018-06-03 19:15:00,71.06
2018-06-03 19:30:00,70.88
2018-06-03 19:45:00,72.14
2018-06-03 20:00:00,71.28
2018-06-03 20:15:00,69.62
2018-06-03 20:30:00,71.93
2018-06-03 20:45:00,71.42
2018-06-03 21:00:00,70.96
2018-06-03 21:15:00,70.56
2018-06-03 21:30:00,69.16
2018-06-03 21:45:00,71.78
2018-06-03 22:00:00,71.03
2018-06-03 22:15:00,67.9
2018-06-03 22:30:00,69.98
2018-06-03 22:45:00,70.6
2018-06-03 23:00:00,70.81
2018-06-03 23:15:00,69.34
2018-06-03 23:30:00,70.56
2018-06-03 23:45:00,69.41
2018-06-04 00:00:00,68.98
2018-06-04 00:15:00,69.08
2018-06-04 00:30:00,70.74
2018-06-04 00:45:00,69.55
2018-06-04 01:00:00,68.29
2018-06-04 01:15:00,69.88
2018-06-04 01:30:00,69.3
2018-06-04 01:45:00,68.94
2018-06-04 02:00:00,69.66
2018-06-04 02:15:00,70.27
2018-06-04 02:30:00,69.26
2018-06-04 02:45:00,67.75
2018-06-04 03:00:00,69.77
2018-06-04 03:15:00,68.36
2018-06-04 03:30:00,69.16
2018-06-04 03:45:00,67.9
2018-06-04 04:00:00,70.02
2018-06-04 04:15:00,68.87
2018-06-04 04:30:00,68.08
2018-06-04 04:45:00,67.61
2018-06-04 05:00:00,69.77
2018-06-04 05:15:00,69.05
2018-06-04 05:30:00,69.05
2018-06-04 05:45:00,67.64
2018-06-04 06:00:00,70.31
2018-06-04 06:15:00,70.2
2018-06-04 06:30:00,69.41
2018-06-04 06:45:00,71.46
2018-06-04 07:00:00,69.55
2018-06-04 07:15:00,71.14
2018-06-04 07:30:00,70.02
2018-06-04 07:45:00,72.32
2018-06-04 08:00:00,71.21
2018-06-04 08:15:00,74.92
2018-06-04 08:30:00,77.22
2018-06-04 08:45:00,75.42
2018-06-04 09:00:00,75.06
